"service_date","day_type","bus","rail_boardings","total_rides"
"07/12/2025","A","422,226","330,530","752,756"
"07/13/2025","U","334,662","261,931","596,593"
"07/14/2025","W","544,793","384,117","928,910"
"07/15/2025","W","579,537","439,047","1,018,584"
"07/16/2025","W","562,232","432,866","995,098"
"07/17/2025","W","573,201","460,177","1,033,378"
"07/18/2025","W","559,448","460,345","1,019,793"
"07/19/2025","A","394,966","354,215","749,181"
"07/20/2025","U","328,751","293,401","622,152"
"07/21/2025","W","518,203","421,916","940,119"
"07/22/2025","W","581,470","479,560","1,061,030"
"07/23/2025","W","569,940","467,479","1,037,419"
"07/24/2025","W","527,958","425,053","953,011"
"07/25/2025","W","509,522","409,303","918,825"
"07/26/2025","A","397,737","363,680","761,417"
"07/27/2025","U","326,681","279,111","605,792"
"07/28/2025","W","506,057","379,574","885,631"
"07/29/2025","W","557,055","446,674","1,003,729"
"07/30/2025","W","537,534","466,281","1,003,815"
"07/31/2025","W","567,414","542,673","1,110,087"
"08/01/2025","W","579,918","531,060","1,110,978"
"08/02/2025","A","440,679","454,540","895,219"
"08/03/2025","U","347,538","369,850","717,388"
"08/04/2025","W","549,549","435,744","985,293"
"08/05/2025","W","585,862","472,919","1,058,781"
"08/06/2025","W","585,476","470,977","1,056,453"
"08/07/2025","W","580,914","454,251","1,035,165"
"08/08/2025","W","548,414","417,744","966,158"
"08/09/2025","A","425,825","341,354","767,179"
"08/10/2025","U","338,295","274,110","612,405"
"08/11/2025","W","532,546","388,290","920,836"
"08/12/2025","W","526,488","417,628","944,116"
"08/13/2025","W","592,948","445,008","1,037,956"
"08/14/2025","W","584,878","442,877","1,027,755"
"08/15/2025","W","559,089","451,082","1,010,171"
"08/16/2025","A","413,454","376,304","789,758"
"08/17/2025","U","344,058","310,718","654,776"
"08/18/2025","W","524,954","401,101","926,055"
"08/19/2025","W","610,398","471,272","1,081,670"
"08/20/2025","W","630,143","472,073","1,102,216"
"08/21/2025","W","628,924","481,244","1,110,168"
"08/22/2025","W","596,734","415,337","1,012,071"
"08/23/2025","A","427,579","332,193","759,772"
"08/24/2025","U","335,939","264,740","600,679"
"08/25/2025","W","609,351","406,937","1,016,288"
"08/26/2025","W","645,971","465,834","1,111,805"
"08/27/2025","W","653,421","473,422","1,126,843"
"08/28/2025","W","642,222","520,735","1,162,957"
"08/29/2025","W","630,115","476,265","1,106,380"
"08/30/2025","A","432,214","391,010","823,224"
"08/31/2025","U","360,093","343,458","703,551"
"09/01/2025","U","344,866","293,766","638,632"
"09/02/2025","W","650,054","470,795","1,120,849"
"09/03/2025","W","658,938","472,114","1,131,052"
"09/04/2025","W","665,448","474,384","1,139,832"
"09/05/2025","W","629,854","458,538","1,088,392"
"09/06/2025","A","419,986","375,070","795,056"
"09/07/2025","U","333,061","293,278","626,339"
"09/08/2025","W","617,419","429,504","1,046,923"
"09/09/2025","W","651,576","473,953","1,125,529"
"09/10/2025","W","657,858","484,323","1,142,181"
"09/11/2025","W","648,548","489,005","1,137,553"
"09/12/2025","W","620,797","451,758","1,072,555"
"09/13/2025","A","387,975","325,790","713,765"
"09/14/2025","U","331,118","270,547","601,665"
"09/15/2025","W","616,320","435,277","1,051,597"
"09/16/2025","W","651,990","484,965","1,136,955"
"09/17/2025","W","662,489","489,466","1,151,955"
"09/18/2025","W","658,272","500,862","1,159,134"
"09/19/2025","W","622,912","473,083","1,095,995"
"09/20/2025","A","414,969","354,575","769,544"
"09/21/2025","U","331,250","284,243","615,493"
"09/22/2025","W","613,704","432,361","1,046,065"
"09/23/2025","W","634,442","487,614","1,122,056"
"09/24/2025","W","660,516","501,545","1,162,061"
"09/25/2025","W","654,827","519,555","1,174,382"
"09/26/2025","W","580,438","452,496","1,032,934"
"09/27/2025","A","426,711","359,880","786,591"
"09/28/2025","U","328,502","273,175","601,677"
"09/29/2025","W","600,769","423,348","1,024,117"
"09/30/2025","W","645,289","497,543","1,142,832"
